=== Geração de Áudio — Meu Salmo ===
Aguardando 15s antes de iniciar (rate limit reset)...
Início: 2026-06-04 09:29:23
Voz: pt-BR-Chirp3-HD-Zubenelgenubi  |  Rate: 0.92  |  Total: 150

[107/150] ⏭️  Salmo 107 → já existe, pulando
[108/150] ⏭️  Salmo 108 → já existe, pulando
[109/150] ⏭️  Salmo 109 → já existe, pulando
[110/150] ⏭️  Salmo 110 → já existe, pulando
[111/150] ⏭️  Salmo 111 → já existe, pulando
[112/150] ⏭️  Salmo 112 → já existe, pulando
[113/150] ⏭️  Salmo 113 → já existe, pulando
[114/150] ⏭️  Salmo 114 → já existe, pulando
[115/150] ⏭️  Salmo 115 → já existe, pulando
[116/150] ⏭️  Salmo 116 → já existe, pulando
[117/150] ⏭️  Salmo 117 → já existe, pulando
[118/150] ⏭️  Salmo 118 → já existe, pulando
[119/150] ✅ Salmo 119 → salmo_119.mp3 (3935.2 KB) [10 chunks]
[120/150] ⏭️  Salmo 120 → já existe, pulando
[121/150] ⏭️  Salmo 121 → já existe, pulando
[122/150] ⏭️  Salmo 122 → já existe, pulando
[123/150] ⏭️  Salmo 123 → já existe, pulando
[124/150] ⏭️  Salmo 124 → já existe, pulando
[125/150] ⏭️  Salmo 125 → já existe, pulando
[126/150] ⏭️  Salmo 126 → já existe, pulando
[127/150] ⏭️  Salmo 127 → já existe, pulando
[128/150] ⏭️  Salmo 128 → já existe, pulando
[129/150] ⏭️  Salmo 129 → já existe, pulando
[130/150] ⏭️  Salmo 130 → já existe, pulando
[131/150] ⏭️  Salmo 131 → já existe, pulando
[132/150] ⏭️  Salmo 132 → já existe, pulando
[133/150] ⏭️  Salmo 133 → já existe, pulando
[134/150] ⏭️  Salmo 134 → já existe, pulando
[135/150] ⏭️  Salmo 135 → já existe, pulando
[136/150] ✅ Salmo 136 → salmo_136.mp3 (584.3 KB) [2 chunks]
[137/150] ⏭️  Salmo 137 → já existe, pulando
[138/150] ⏭️  Salmo 138 → já existe, pulando
